"cluster_set","featset","focgene","threshold","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"70_7","cds_compbias","HA",0.026,0.666,0.35,0.648,0.684,0.769,1,0,0.735,0.914,0.591,0.402,0.958,0.402,0.914,0.559,0.231,0.212,0.526,0.753
"70_7","nuc_2mer","HA",0.006,0.551,0.201,0.532,0.57,0.769,1,0,0.636,0.861,0.458,0.323,0.916,0.323,0.861,0.47,0.231,0.199,0.616,0.659
"70_7","nuc_3mer","HA",0.064,0.616,-0.155,0.598,0.635,0.769,1,0,0.179,0.076,0.779,0.094,0.737,0.094,0.076,0.084,0.231,0.018,0.187,0.428
"70_7","nuc_4mer","HA",0.03,0.583,0.176,0.564,0.602,0.769,1,0,0.641,0.706,0.546,0.319,0.86,0.319,0.706,0.439,0.231,0.163,0.512,0.626
"70_7","nuc_5mer","HA",0.035,0.776,0.494,0.76,0.792,0.769,0.186,0,0.785,0.866,0.749,0.51,0.949,0.51,0.866,0.641,0.231,0.2,0.393,0.807
"70_7","nuc_6mer","HA",0.034,0.781,0.525,0.764,0.796,0.769,0.074,0,0.825,0.955,0.728,0.514,0.982,0.514,0.955,0.668,0.231,0.221,0.43,0.841
"70_7","prot_2mer","HA",0.018,0.798,0.551,0.782,0.813,0.769,0,0,0.811,0.942,0.755,0.536,0.977,0.536,0.942,0.683,0.231,0.218,0.406,0.848
"70_7","prot_ctdc","HA",0.002,0.648,0.325,0.63,0.666,0.769,1,0,0.707,0.906,0.571,0.389,0.953,0.389,0.906,0.544,0.231,0.21,0.54,0.738
"70_7","prot_ctdd","HA",0.03,0.871,0.672,0.857,0.883,0.769,0,0,0.899,0.872,0.87,0.67,0.958,0.67,0.872,0.758,0.231,0.202,0.301,0.871
"70_7","prot_ctdt","HA",0.017,0.774,0.5,0.758,0.79,0.769,0.254,0,0.793,0.9,0.736,0.507,0.961,0.507,0.9,0.648,0.231,0.208,0.411,0.818
"70_7","prot_ctriad","HA",0.023,0.796,0.547,0.78,0.811,0.769,0,0,0.828,0.942,0.751,0.533,0.977,0.533,0.942,0.681,0.231,0.218,0.409,0.847
"70_7","prot_pseaac","HA",0.023,0.789,0.533,0.773,0.804,0.769,0.006,0,0.849,0.929,0.747,0.525,0.972,0.525,0.929,0.671,0.231,0.215,0.409,0.838
"70_7","cds_compbias","M1",0.041,0.899,0.743,0.887,0.91,0.769,0,0,0.964,0.929,0.89,0.718,0.976,0.718,0.929,0.81,0.231,0.215,0.299,0.91
"70_7","nuc_2mer","M1",0.034,0.854,0.633,0.84,0.867,0.769,0,0,0.935,0.859,0.852,0.636,0.953,0.636,0.859,0.731,0.231,0.199,0.313,0.856
"70_7","nuc_3mer","M1",0.031,0.83,0.597,0.815,0.844,0.769,0,0,0.914,0.903,0.808,0.586,0.965,0.586,0.903,0.71,0.231,0.209,0.357,0.855
"70_7","nuc_4mer","M1",0.042,0.767,0.464,0.75,0.783,0.769,0.601,0,0.871,0.817,0.751,0.498,0.932,0.498,0.817,0.618,0.231,0.189,0.38,0.784
"70_7","nuc_5mer","M1",0.022,0.84,0.616,0.826,0.854,0.769,0,0,0.941,0.9,0.822,0.604,0.965,0.604,0.9,0.723,0.231,0.208,0.345,0.861
"70_7","nuc_6mer","M1",0.017,0.838,0.608,0.823,0.852,0.769,0,0,0.925,0.882,0.825,0.602,0.959,0.602,0.882,0.716,0.231,0.204,0.339,0.853
"70_7","prot_2mer","M1",0.095,0.962,0.892,0.954,0.969,0.769,0,0.005,0.919,0.895,0.982,0.939,0.969,0.939,0.895,0.916,0.231,0.207,0.221,0.939
"70_7","prot_ctdc","M1",0.053,0.962,0.892,0.954,0.969,0.769,0,0.198,0.928,0.906,0.979,0.927,0.972,0.927,0.906,0.917,0.231,0.21,0.226,0.942
